restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Macau Chan Kwong Kei (Xiaoshan International Airport T4 Departure Mezzanine Branch),Nanchang,30.234878,120.431013,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiaoshan International Airport,"120.432413,30.234708",30.234708,120.432413,3.4
Original No.1 Restaurant,Nanchang,30.228891,120.426744,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiaoshan International Airport,"120.432413,30.234708",30.234708,120.432413,4.0
Go Wild Restaurant,Nanchang,30.238984,120.446523,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiaoshan International Airport,"120.432413,30.234708",30.234708,120.432413,4.0
Hangzhou Xiaoshan International Airport - Third Restaurant,Nanchang,30.239055,120.446681,30.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiaoshan International Airport,"120.432413,30.234708",30.234708,120.432413,4.0
Air China Staff Restaurant (Air China Base Branch),Nanchang,30.238608,120.449026,17.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiaoshan International Airport,"120.432413,30.234708",30.234708,120.432413,4.1
Guangwei Xuan Hong Kong-Style Tea Restaurant (Hangzhou East Station),Nanchang,30.290107,120.209962,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Hangzhou East Station,"120.212605,30.290846",30.290846,120.212605,2.5
Airuiyun Restaurant (Dongxi Debi Yiyuan Branch),Nanchang,30.291007,120.217230,76.0,Chinese Restaurant;Chinese Restaurant|Cafe;Cafe,10:00,23:00,Hangzhou East Station,"120.212605,30.290846",30.290846,120.212605,4.0
Shenji Hong Kong Style Tea Restaurant (Tiancheng Yinzuo Building 3 Branch),Nanchang,30.289940,120.207477,30.0,Fast Food Restaurant;Tea Restaurant,10:00,19:00,Hangzhou East Station,"120.212605,30.290846",30.290846,120.212605,4.2
Green Tea Restaurant (Hangzhou East Station MixC Branch),Nanchang,30.293504,120.217725,74.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Hangzhou East Station,"120.212605,30.290846",30.290846,120.212605,4.7
Man Wah Ice Room (Hangzhou East Station MixC Branch),Nanchang,30.294025,120.217615,57.0,Food Service Related;Food Service Related,10:00,21:00,Hangzhou East Station,"120.212605,30.290846",30.290846,120.212605,4.4
Real Kung Fu Restaurant (Nanchang West Station),Nanchang,28.626458,115.796782,100.0,Food Service Related;Food Service Related,11:00,21:00,Nanchang West Station,"115.792938,28.622886",28.622886,115.792938,3.7
Mi Chu Memory Restaurant (Xinlv Mingyue Mansion Branch),Nanchang,28.616407,115.792685,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanchang West Station,"115.792938,28.622886",28.622886,115.792938,3.9
Spicy Stir-Fried Pork Theme Restaurant (China Resources Triumph Arch Branch),Nanchang,28.621543,115.801287,44.0,Chinese Restaurant;Chinese Restaurant,10:30,22:00,Nanchang West Station,"115.792938,28.622886",28.622886,115.792938,4.5
Railway Mansion City Plaza Grand Hotel Chinese Restaurant,Nanchang,30.243947,120.182733,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou Station,"120.182860,30.243482",30.243482,120.182860,3.8
Hangzhou Hongxing Cultural Hotel - Jade Dragonfly Restaurant,Nanchang,30.243913,120.179120,114.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou Station,"120.182860,30.243482",30.243482,120.182860,3.9
Jade Dragonfly Restaurant,Nanchang,30.243917,120.178859,78.0,Chinese Restaurant;Chinese Restaurant,17:00,20:00,Hangzhou Station,"120.182860,30.243482",30.243482,120.182860,4.5
Baozhongbao Food Court,Nanchang,30.247432,120.180539,100.0,Chinese Restaurant;General Restaurant,16:30,21:00,Hangzhou Station,"120.182860,30.243482",30.243482,120.182860,4.5
Hangzhou Postal Staff Canteen (Hangzhou Postal Hub Building Branch),Nanchang,30.248660,120.184147,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou Station,"120.182860,30.243482",30.243482,120.182860,3.6
Tiantian Restaurant (Erqi South Road),Nanchang,28.658575,115.917769,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanchang Station,"115.919876,28.661832",28.661832,115.919876,3.5
Affordable Restaurant,Nanchang,28.665728,115.918452,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanchang Station,"115.919876,28.661832",28.661832,115.919876,3.7
Bacun Restaurant (Railway Bacun East District Branch),Nanchang,28.662429,115.924649,100.0,Chinese Restaurant;Chinese Restaurant,04:30,21:00,Nanchang Station,"115.919876,28.661832",28.661832,115.919876,3.7
Fang's Flavor Eatery (COFCO · Jianfa · Xiangyun Yuefu Branch),Nanchang,28.639130,115.865311,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ji Hotel Nanchang Chaoyang Xihu Wanda Joy City Hotel,"115.862351,28.641395",28.641395,115.862351,3.9
Xiangni Restaurant (Zhongliang·Jianda·Xiangyun Yuefu Branch),Nanchang,28.639754,115.866252,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ji Hotel Nanchang Chaoyang Xihu Wanda Joy City Hotel,"115.862351,28.641395",28.641395,115.862351,3.9
Benjie Residential Hotpot (Jiulonghu Branch),Nanchang,28.624009,115.781954,100.0,Chinese Restaurant;Hot Pot,10:00,22:00,Ji Hotel Nanchang West Station Hotel,"115.788671,28.626964",28.626964,115.788671,4.6
Rao's Flavor Jiangxi Cuisine Theme Restaurant (Yulongyuan Yiyuan Branch),Nanchang,28.628940,115.801558,102.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Ji Hotel Nanchang West Station Hotel,"115.788671,28.626964",28.626964,115.788671,4.5
Ameigo Meiguo • Yungui Sichuan Bistro (Causeway Bay T16 Branch),Nanchang,28.700373,115.867503,91.0,Food Service Related;Food Service Related,11:00,21:30,Ji Hotel Nanchang Honggutan Times Square Hotel,"115.865000,28.697100",28.697100,115.865000,4.4
Zhu Guangyu Hot Pot Restaurant (Causeway Bay Plaza Branch),Nanchang,28.700295,115.867744,109.0,Chinese Restaurant;Hot Pot,11:00,22:00,Ji Hotel Nanchang Honggutan Times Square Hotel,"115.865000,28.697100",28.697100,115.865000,4.6
Jordan Tea Restaurant (Nanchang T16 Shopping Center Branch),Nanchang,28.700435,115.867547,82.0,Food Service Related;Food Service Related,10:00,22:00,Ji Hotel Nanchang Honggutan Times Square Hotel,"115.865000,28.697100",28.697100,115.865000,4.4
Yueyan · Traditional Cantonese Seafood Restaurant,Nanchang,28.685704,115.844233,28.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Home Inn - Nanchang Honggutan Phoenix Middle Avenue Wanda Plaza Branch,"115.844574,28.685926",28.685926,115.844574,4.0
Fishing Cat Tang Yun Restaurant,Nanchang,28.685755,115.844961,68.0,购物相关场所;购物相关场所,11:00,21:00,Home Inn - Nanchang Honggutan Phoenix Middle Avenue Wanda Plaza Branch,"115.844574,28.685926",28.685926,115.844574,4.3
Mushroom Dining Restaurant (Honggutan Branch),Nanchang,28.685146,115.845277,91.0,Chinese Restaurant;Chinese Restaurant,16:00,22:00,Home Inn - Nanchang Honggutan Phoenix Middle Avenue Wanda Plaza Branch,"115.844574,28.685926",28.685926,115.844574,4.6
Lanxi Garden · Western Cuisine (Honggutan Branch),Nanchang,28.687454,115.843580,75.0,Foreign Restaurant;Western Restaurant,11:00,23:00,Home Inn - Nanchang Honggutan Phoenix Middle Avenue Wanda Plaza Branch,"115.844574,28.685926",28.685926,115.844574,4.9
Jixing Pavilion Tea Restaurant (Liantai·Xiangyu Central A Zone Branch),Nanchang,28.684350,115.842379,100.0,Fast Food Restaurant;Tea Restaurant,10:00,20:00,Home Inn - Nanchang Honggutan Phoenix Middle Avenue Wanda Plaza Branch,"115.844574,28.685926",28.685926,115.844574,3.9
Wanguo International Grand Hotel (Bayi Square Branch) - Restaurant,Nanchang,28.663552,115.909550,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Bayi Square Dinggong Road South Metro Station Branch,"115.911202,28.662060",28.662060,115.911202,3.9
Nanbin Restaurant (Nanbin International Financial Building Branch),Nanchang,28.662993,115.908445,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Bayi Square Dinggong Road South Metro Station Branch,"115.911202,28.662060",28.662060,115.911202,3.8
Huimin Restaurant (Zhanqian Road Branch),Nanchang,28.662001,115.914338,100.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Home Inn · Neo - Nanchang Bayi Square Dinggong Road South Metro Station Branch,"115.911202,28.662060",28.662060,115.911202,4.1
Huiting Bauhinia Banquet,Nanchang,28.738823,115.832759,93.0,Chinese Restaurant;Chinese Restaurant,17:00,21:30,Orange Hotel Nanchang Zijing Night Market Finance University Hotel,"115.833462,28.737963",28.737963,115.833462,4.5
Huitouke Restaurant (Jinpu Yiyuan Branch),Nanchang,28.735889,115.833366,100.0,Chinese Restaurant;Chinese Restaurant,09:30,22:00,Orange Hotel Nanchang Zijing Night Market Finance University Hotel,"115.833462,28.737963",28.737963,115.833462,4.0
Tasty Restaurant (Maple Love Garden Branch),Nanchang,28.734032,115.838138,100.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Orange Hotel Nanchang Zijing Night Market Finance University Hotel,"115.833462,28.737963",28.737963,115.833462,4.3
Grand Skylight Garden International Hotel Buffet Restaurant,Nanchang,28.557472,115.935644,100.0,Food Service Related;Food Service Related,17:30,20:30,Jialite Garden International Hotel Nanchang County (Chengbi Lake Branch),"115.935652,28.556998",28.556998,115.935652,4.3
Tomahawk Steakhouse (Xiyue City Lifestyle Plaza Branch),Nanchang,28.553844,115.938373,97.0,Foreign Restaurant;Western Restaurant|Foreign Restaurant;牛扒店(扒房),10:00,22:00,Jialite Garden International Hotel Nanchang County (Chengbi Lake Branch),"115.935652,28.556998",28.556998,115.935652,4.5
Gurut Grilled Meat Buffet Restaurant (Liantang Xiyue City Branch),Nanchang,28.553655,115.938210,56.0,Chinese Restaurant;Chinese Restaurant,16:00,21:00,Jialite Garden International Hotel Nanchang County (Chengbi Lake Branch),"115.935652,28.556998",28.556998,115.935652,4.4
Affordable Eatery (Erqi North Road Branch),Nanchang,28.674662,115.918647,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Bayi Square Shida South Road Metro Station Branch,"115.921446,28.673967",28.673967,115.921446,3.7
Baiwei Restaurant (Shunwai Banbian Street),Nanchang,28.671558,115.920089,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Bayi Square Shida South Road Metro Station Branch,"115.921446,28.673967",28.673967,115.921446,3.8
Morning Light Small Restaurant (Shida South Road Branch),Nanchang,28.670200,115.924402,13.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Home Inn · Neo - Nanchang Bayi Square Shida South Road Metro Station Branch,"115.921446,28.673967",28.673967,115.921446,3.8
